persona,persona_dimension_list,Extraversion_score,Agreeableness_score,Conscientiousness_score,Neuroticism_score,Openness_score
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",33,50,45,34,43
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",36,48,42,35,36
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",38,45,38,35,40
"cares about the well-being of others, cares about reciprocity or fairness, cares about loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'cares about loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",37,48,31,31,35
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",33,50,45,30,38
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",35,48,36,31,36
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",36,48,38,32,38
"cares about the well-being of others, cares about reciprocity or fairness, is not concerned with loyalty to your group, is not concerned with respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'cares about reciprocity or fairness', 'is not concerned with loyalty to your group', 'is not concerned with respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",38,49,35,29,38
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and cares about moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'cares about moral purity or spiritual elevation']",34,50,42,35,40
"cares about the well-being of others, is not concerned with reciprocity or fairness, cares about loyalty to your group, cares about respecting hierarchies or authority figures and is not concerned with moral purity or spiritual elevation","['cares about the well-being of others', 'is not concerned with reciprocity or fairness', 'cares about loyalty to your group', 'cares about respecting hierarchies or authority figures', 'is not concerned with moral purity or spiritual elevation']",35,46,42,32,35
