persona,persona_dimension_list,Harm_Care_score,Fairness_Reciprocity_score,In-group_Loyalty_score,Authority_Respect_score,Purity_Sanctity_score
"highly open to experience, conscientious, extroverted, agreeable and neurotic","['highly open to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",15,15,12,12,9
"slightly open to experience, conscientious, extroverted, agreeable and neurotic","['slightly open to experience', 'conscientious', 'extroverted', 'agreeable', 'neurotic']",14,13,13,12,11
"open to experience, highly conscientious, extroverted, agreeable and neurotic","['open to experience', 'highly conscientious', 'extroverted', 'agreeable', 'neurotic']",15,15,13,12,11
"open to experience, slightly conscientious, extroverted, agreeable and neurotic","['open to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'neurotic']",14,13,11,10,8
"open to experience, conscientious, highly extroverted, agreeable and neurotic","['open to experience', 'conscientious', 'highly extroverted', 'agreeable', 'neurotic']",14,14,14,13,11
"open to experience, conscientious, slightly extroverted, agreeable and neurotic","['open to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'neurotic']",13,12,11,11,10
"open to experience, conscientious, extroverted, highly agreeable and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly agreeable', 'neurotic']",15,15,13,12,12
"open to experience, conscientious, extroverted, slightly agreeable and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'neurotic']",12,12,11,12,8
"open to experience, conscientious, extroverted, agreeable and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'highly neurotic']",15,14,14,12,13
"open to experience, conscientious, extroverted, agreeable and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly neurotic']",13,15,13,11,11
"highly open to experience, conscientious, extroverted, agreeable and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",15,15,11,9,8
"slightly open to experience, conscientious, extroverted, agreeable and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'agreeable', 'emotionally stable']",13,12,12,11,8
"open to experience, highly conscientious, extroverted, agreeable and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",14,14,12,10,8
"open to experience, slightly conscientious, extroverted, agreeable and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'agreeable', 'emotionally stable']",12,12,11,9,5
"open to experience, conscientious, highly extroverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'highly extroverted', 'agreeable', 'emotionally stable']",14,14,12,12,6
"open to experience, conscientious, slightly extroverted, agreeable and emotionally stable","['open to experience', 'conscientious', 'slightly extroverted', 'agreeable', 'emotionally stable']",13,13,11,10,8
"open to experience, conscientious, extroverted, highly agreeable and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'highly agreeable', 'emotionally stable']",15,15,13,11,6
"open to experience, conscientious, extroverted, slightly agreeable and emotionally stable","['open to experience', 'conscientious', 'extroverted', 'slightly agreeable', 'emotionally stable']",11,12,11,11,7
"open to experience, conscientious, extroverted, agreeable and highly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'highly emotionally stable']",14,15,12,11,6
"open to experience, conscientious, extroverted, agreeable and slightly emotionally stable","['open to experience', 'conscientious', 'extroverted', 'agreeable', 'slightly emotionally stable']",14,13,11,11,8
"highly open to experience, conscientious, extroverted, antagonistic and neurotic","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",9,11,12,8,10
"slightly open to experience, conscientious, extroverted, antagonistic and neurotic","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'neurotic']",10,10,10,11,10
"open to experience, highly conscientious, extroverted, antagonistic and neurotic","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'neurotic']",9,13,13,10,9
"open to experience, slightly conscientious, extroverted, antagonistic and neurotic","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'neurotic']",9,10,10,8,6
"open to experience, conscientious, highly extroverted, antagonistic and neurotic","['open to experience', 'conscientious', 'highly extroverted', 'antagonistic', 'neurotic']",10,13,13,10,10
"open to experience, conscientious, slightly extroverted, antagonistic and neurotic","['open to experience', 'conscientious', 'slightly extroverted', 'antagonistic', 'neurotic']",10,12,12,8,10
"open to experience, conscientious, extroverted, highly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'highly antagonistic', 'neurotic']",6,9,12,9,9
"open to experience, conscientious, extroverted, slightly antagonistic and neurotic","['open to experience', 'conscientious', 'extroverted', 'slightly antagonistic', 'neurotic']",12,12,11,11,10
"open to experience, conscientious, extroverted, antagonistic and highly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'highly neurotic']",9,12,13,12,9
"open to experience, conscientious, extroverted, antagonistic and slightly neurotic","['open to experience', 'conscientious', 'extroverted', 'antagonistic', 'slightly neurotic']",7,12,10,8,8
"highly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['highly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",7,12,11,7,6
"slightly open to experience, conscientious, extroverted, antagonistic and emotionally stable","['slightly open to experience', 'conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",6,11,11,7,6
"open to experience, highly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'highly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",9,12,11,10,6
"open to experience, slightly conscientious, extroverted, antagonistic and emotionally stable","['open to experience', 'slightly conscientious', 'extroverted', 'antagonistic', 'emotionally stable']",6,6,6,4,4
